id1,id2,weight
bamboleio,meneio,1
bambu,família,1
bambu,vara,1
banalidade,coisa,1
banana,fruto,1
banca,mesa,1
banca,carteira,1
banca,junta,1
bancada,ordem,1
bancada,representação,1
bancarrota,falência,1
banco,estabelecimento,1
banda,lado,1
möbius,objeto,1
bandeira,pano,1
bandeirante,indivíduo,1
bandeirante,e,1
bandeirinha,pequena,1
bandeirinha,juiz,1
bando,gente,1
bandoleira,correia,1
bandolim,instrumento,1
banguela,a,1
banha,a,1
banhado,brejo,1
banheira,bacia,1
banho,imersão,1
banjo,instrumento,1
banqueiro,casa,1
banquete,refeição,1
bantu,raça,1
baobá,árvore,1
baque,ruído,1
baque,desastre,1
bar,lugar,1
barata,inseto,1
barateiro,compra,1
barba,pêlo,1
barbacã,linha,1
barbada,beiço,1
barbante,fio,1
barbatana,membrana,1
barbearia,loja,1
barbeiro,e,1
barca,embarcação,1
bardo,e,1
barganha,coisa,1
barometria,medida,1
barômetro,instrumento,1
barra,metal,1
barra,extremidade,1
barraca,tenda,1
barraca,cobertura,1
barraca,habitação,1
barraco,pequena,1
barragem,barreira,1
barranco,escavação,1
barreira,limite,1
barrica,tonel,1
barricada,trincheira,1
barriga,ventre,1
barriga,e,1
barriga-verde,estado,1
barril,pequena,1
barroco¹,formato,1
barroco²,estilo,1
barulheira,ruído,1
barulho,tropel,1
basalto,pedra,1
base,fundamento,1
base,parte,1
basílica,templo,1
bastão,bordão,1
bastidor,caixilho,1
bata,tipo,1
batalhão,corpo,1
batata,tubérculo,1
bate-bola,futebol,1
bateia,gamela,1
batente,trabalho,1
bateria,obra,1
bateria,fração,1
batida,ação,1
batina,e,1
batismo,igreja,1
batismo,a,1
batistério,lugar,1
batráquio,animal,1
batuta,vareta,1
baú,caixa,1
bauxita,minério,1
bazar,empório,1
beata,mulher,1
beatitude,bem-aventurança,1
beatitude,felicidade,1
beberagem,bebida,1
beca,longa,1
becape,cópia,1
beco,rua,1
bedel,funcionário,1
bedelho,ferrolho,1
beduíno,árabe,1
bege,a,1
beiçola,pancada,1
beiçudo,indivíduo,1
beija-flor,ave,1
beijo,ação,1
beijo,a,1
beiju,bolo,1
beira,margem,1
beira-mar,a,1
bel-prazer,vontade,1
bela,mulher,1
beliche,câmara,1
beliscão,aperto,1
bem,moral,1
bem,felicidade,1
bem-me-quer,família,1
bem-querer2,amizade,1
bem-te-vi,nome,1
bênção,ação,1
bênção,graça,1
beneficência,virtude,1
beneficiado,indivíduo,1
benefício,serviço,1
benevolência,boa,1
bengala,bastão,1
benjamim,caçula,1
benjamim,lâmpada,1
benzedeira,mulher,1
beque,zagueiro,1
berço,leito,1
berço,lugar,1
berimbau,instrumento,1
berinjela,fruto,1
berlinda,carro,1
berne,larva,1
berreiro,gritaria,1
berreiro,choro,1
berro,voz,1
besta1,arma,1
besta2,animal,1
bestunto,cabeça,1
besugo,peixe,1
beta,letra,1
beterraba,raiz,1
betoneira,máquina,1
betume,massa,1
bexiga,a,1
bexiguento,rosto,1
bibelô,objeto,1
bíblia,e,1
bibliografia,descrição,1
biblioteca,coleção,1
biblioteconomia,organização,1
bicada,pancada,1
bicarbonato,sal,1
bíceps,braço,1
bicha,nome,1
bicha,indivíduo,1
bichano,expressão,1
bicharada,quantidade,1
bicho,nome,1
bicho-da-seda,nome,1
bicho-de-pé,áfrica,1
bicho-do-mato,indivíduo,1
bicho-papão,ente,1
bicho-preguiça,denominação,1
bicicleta,veículo,1
bico,a,1
bico,extremidade,1
bicota,beijo,1
bidê,louça,1
bíduo,espaço,1
biela,peça,1
biênio,espaço,1
bife,fatia,1
biga,carro,1
bigamia,estado,1
bigode,barba,1
bigorna,peça,1
bigorna,osso,1
bigorrilha,homem,1
bijuteria,objeto,1
bilhão,grandeza,1
bilhar,jogo,1
bilhar,a,1
bilhete,carta,1
bilhete,senha,1
bilro,fuso,1
biltre,indivíduo,1
bimestre,espaço,1
bimestre,a,1
bingo,jogo,1
binômio,expressão,1
biodiversidade,diversidade,1
biogênese,hipótese,1
biografia,descrição,1
biógrafo,indivíduo,1
biologia,ciência,1
biombo,divisão,1
biometria,ciência,1
biônica,imitação,1
biopse,retirada,1
bioquímica,ramo,1
biosfera,parte,1
biotério,lugar,1
bióxido,nome,1
bipartição,separação,1
bira,buraco,1
birreme,galera,1
biruta,saco,1
bisavô,pai,1
bisavó,mãe,1
biscate,trabalho,1
biscate,gancho,1
biscoito,massa,1
bisnaga,tubo,1
bisneto,neto,1
bispado,área,1
bispado,diocese,1
bispado,dignidade,1
bispo,peça,1
bissetriz,parte,1
bisturi,instrumento,1
bitola,medida,1
bitola,modelo,1
bizarria,galhardia,1
bizarria,gentileza,1
blasfêmia,ultraje,1
blefe,logro,1
blefista,a,1
bloco,quantidade,1
bloqueio,cerco,1
blusa,vestuário,1
blusa,peça,1
boa,gênero,1
boas-vindas,chegada,1
boato,notícia,1
bobina,linha,1
bobo,indivíduo,1
boca,cavidade,1
bocado,alimento,1
bocaina,depressão,1
bocal,boca,1
bocarra,boca,1
bocejo,ato,1
bochecha,a,1
bochecho,boca,1
bócio,aumento,1
bócio,papeira,1
boda,celebração,1
bode,macho,1
bodegueiro,bodega,1
bodoque,arco,1
boêmia,vida,1
bofe,mulher,1
bofetada,pancada,1
boi-bumbá,festa,1
bóia,corpo,1
boiada,manada,1
boina,gorro,1
boitatá,fogo,1
boitatá,entidade,1
bojo,forma,1
bola,corpo,1
bolacha,bolo,1
bolada,golpe,1
bolada,monte,1
boldo,família,1
boleadeiras,instrumento,1
boléia,assento,1
boléia,assento,1
boletim,pequena,1
boletim,registro,1
bolha,cheia,1
boliche,casa,1
boliche,jogo,1
bolo,massa,1
bolsa,carteira,1
bolsa,sala,1
bolsa,edifício,1
bolso,vestuário,1
bom-bocado,iguaria,1
bom-mocismo,comportamento,1
bomba,máquina,1
bomba,recheio,1
bombachas,calças,1
bombeiro,lida,1
bombordo,lado,1
bonança,tempo,1
bonança,tranqüilidade,1
bondade,qualidade,1
bonde,veículo,1
boné,cobertura,1
boneca,figura,1
boneco,figura,1
bonificação,abono,1
bonomia,bondade,1
bônus,a,1
bonzo,sacerdote,1
boqueirão,boca,1
boquinha,forma,1
boquinha,refeição,1
borboleta,nome,1
borbotão,forro,1
borbotão,jato,1
